,,,,,,,,,,,,,,,,,,,,,,,,,,
업종코드-10차 표준산업분류 연계표,,,,,,,,,,,,,,,,,,,,,,,,,,
일련번호,,,,,,,,,,,,,,,,,,,,,,,,세부설명,,
,"2021년 귀속
업종코드",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,"표준산업
분류",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,메인,,,
33,052103,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,내수면 양식 어업,1,03212,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,내수면 양식 어업,1,,,,
34,052104,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,수산물 부화 및 수산 종자 생산업,1,03213,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,수산물 부화 및 수산 종자 생산업,1,,,,
35,052200,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0522,어업 관련 서비스업,어업 관련 서비스업,1,03220,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0322,어업 관련 서비스업,어업 관련 서비스업,1,,,,
36,101000,B,광업,10,"석탄, 원유 및 천연가스 광업",101,석탄 광업,1010,석탄 광업,석탄 광업,1,05100,B,광업,05,"석탄, 원유 및 천연가스 광업",051,석탄 광업,0510,석탄 광업,석탄 광업,2,1,,,
37,101001,B,광업,10,비금속광물 광업; 연료용 제외,101,기타 비금속광물 광업,1010,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,1,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,4,,토탄,,
38,131000,B,광업,13,금속 광업,131,철 광업,1310,철 광업,철 광업,1,06100,B,광업,06,금속 광업,061,철 광업,0610,철 광업,철 광업,2,1,,,
39,131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,"텅스텐, 몰리브덴",,
40,132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,기타 비철금속,,
41,132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,1,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,1,"금ㆍ은 및 백금, 동광석",,
42,141001,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1,07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2,건설용 석재 채굴,,
43,141002,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,석회석 및 점토 광업,석회석 및 점토 광업,1,07110,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0711,석회석 및 점토 광업,석회석 및 점토 광업,2,1,,,
44,141003,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,1,07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,2,건설용 쇄석 생산,,
45,141004,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,1,07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,3,1,,,
